========================================================================================================================
CONNECTION USAGE LOG
Started: Thu Apr 09 00:20:28 MSK 2026
Format: TIMESTAMP | OPERATION | EVENT | THREAD | WAIT_MS | DURATION_MS | DETAILS
========================================================================================================================
00:20:28.427 | mapping_create_table                     | ACQUIRE_START   | main                 |        0ms |        0ms
00:20:28.436 | mapping_create_table                     | ACQUIRE_END     | main                 |        0ms |        0ms
00:20:28.437 | mapping_create_table                     | RELEASE         | main                 |        0ms |       11ms
00:20:28.443 | preload_mapping_regions                  | ACQUIRE_START   | main                 |        0ms |        0ms
00:20:28.450 | preload_mapping_regions                  | ACQUIRE_END     | main                 |        0ms |        0ms
00:20:28.451 | preload_mapping_regions                  | RELEASE         | main                 |        0ms |        8ms
00:20:28.458 | preload_mapping_users                    | ACQUIRE_START   | main                 |        0ms |        0ms
00:20:28.484 | preload_mapping_users                    | ACQUIRE_END     | main                 |        0ms |        0ms
00:20:28.485 | preload_mapping_users                    | RELEASE         | main                 |        0ms |       27ms
00:20:28.486 | preload_mapping_profiles                 | ACQUIRE_START   | main                 |        0ms |        0ms
00:20:28.499 | preload_mapping_profiles                 | ACQUIRE_END     | main                 |        0ms |        0ms
00:20:28.499 | preload_mapping_profiles                 | RELEASE         | main                 |        0ms |       13ms
00:20:28.500 | preload_mapping_user_settings            | ACQUIRE_START   | main                 |        0ms |        0ms
00:20:28.514 | preload_mapping_user_settings            | ACQUIRE_END     | main                 |        0ms |        0ms
00:20:28.514 | preload_mapping_user_settings            | RELEASE         | main                 |        0ms |       14ms
00:20:28.515 | preload_mapping_suppliers                | ACQUIRE_START   | main                 |        0ms |        0ms
00:20:28.521 | preload_mapping_suppliers                | ACQUIRE_END     | main                 |        0ms |        0ms
00:20:28.521 | preload_mapping_suppliers                | RELEASE         | main                 |        0ms |        6ms
00:20:28.521 | preload_mapping_categories               | ACQUIRE_START   | main                 |        0ms |        0ms
00:20:28.552 | preload_mapping_categories               | ACQUIRE_END     | main                 |        0ms |        0ms
00:20:28.552 | preload_mapping_categories               | RELEASE         | main                 |        0ms |       31ms
00:20:28.553 | preload_mapping_products                 | ACQUIRE_START   | main                 |        0ms |        0ms
00:20:28.559 | preload_mapping_products                 | ACQUIRE_END     | main                 |        0ms |        0ms
00:20:28.560 | preload_mapping_products                 | RELEASE         | main                 |        0ms |        7ms
00:20:28.561 | preload_mapping_warehouse_stocks         | ACQUIRE_START   | main                 |        0ms |        0ms
00:20:28.566 | preload_mapping_warehouse_stocks         | ACQUIRE_END     | main                 |        0ms |        0ms
00:20:28.567 | preload_mapping_warehouse_stocks         | RELEASE         | main                 |        0ms |        6ms
00:20:28.567 | preload_mapping_customers                | ACQUIRE_START   | main                 |        0ms |        0ms
00:20:28.575 | preload_mapping_customers                | ACQUIRE_END     | main                 |        0ms |        0ms
00:20:28.575 | preload_mapping_customers                | RELEASE         | main                 |        0ms |        8ms
00:20:28.576 | preload_mapping_orders                   | ACQUIRE_START   | main                 |        0ms |        0ms
00:20:28.590 | preload_mapping_orders                   | ACQUIRE_END     | main                 |        0ms |        0ms
00:20:28.591 | preload_mapping_orders                   | RELEASE         | main                 |        0ms |       15ms
00:20:28.592 | preload_mapping_order_items              | ACQUIRE_START   | main                 |        0ms |        0ms
00:20:28.603 | preload_mapping_order_items              | ACQUIRE_END     | main                 |        0ms |        0ms
00:20:28.604 | preload_mapping_order_items              | RELEASE         | main                 |        0ms |       12ms
00:20:28.604 | preload_mapping_shipments                | ACQUIRE_START   | main                 |        0ms |        0ms
00:20:28.608 | preload_mapping_shipments                | ACQUIRE_END     | main                 |        0ms |        0ms
